Last Updated till-,12-Aug-26,,,,,,,,Total Till date,,"8,69,094","1,71,523","3,34,680","1,06,518","35,440","49,063","17,905","18,773",0,"18,150","9,500","11,407","43,072","41,895","1,900","6,040","5,305","10,502","9,166","2,300","73,121","39,643","32,564",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,48,4970,1019,0,,,,,31-Mar-26,,,,,"5,25,701","36,678"
Dispatch Date,BB,SB,SHIPMENT #,BOXES,,INVOICE #,PO Number,Brand,Warehouse,Ageing,TQty,CP,GGP,TP,GIN,GAR,MVS,TMS,TDK,KRJ,SAM,HB,CM,BM,GWR,PDKC,BPB,KM,PKM,XAC,TMP,TRS,MSB,NP1,NP2,NP3,NP4,NP5,NP6,NP7,NP8,NP9,NP10,NP11,NP12,NP13,NP14,NP15,Zone,Transporter,Shipment No.,Shipment Checker,DUPLICATE?,,Day,Month,Year ,Flag Date - DispatchSKU,Weight (KG),Status,Delivery Date,,GGGTP,SOUPS
10-Jan-26,0,9,H90304489885,9,,HIVPL/25-26/2900,P3186738,Zepto,NCR GUR,,450,0,,150,,,150,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,10,1,2026,,72,,,,150,300
10-Jan-26,0,38,H90304489882,38,,HIVPL/25-26/2901,P3175922,Zepto,NCR JJR,,1900,1450,150,,150,150,,,,150,150,150,150,150,,200,200,150,150,,,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,10,1,2026,,304,,,,450,
10-Jan-26,0,1,H90304489884,1,,HIVPL/25-26/2902,P3193104,Zepto,NCR JJR,,50,50,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,10,1,2026,,8,,,,,
12-Jan-26,0,1,SR-94391823021960,1,,HIVPL/25-26/2905,P3184145,Zepto,Bnglr DRY,5,50,50,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,Shiprocket,,Not Matched ❌,,,12,1,2026,,8,,,,,
12-Jan-26,0,15,H90304491152,15,,HIVPL/25-26/2927,P3187900,Zepto,Mumbai SHK,5,750,450,50,50,50,50,50,50,,50,50,50,50,50,,50,50,50,50,,,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,12,1,2026,,120,,,,200,100
15-Jan-26,0,8,H90304496110,8,,HIVPL/25-26/2956,P3186305,Zepto,Chennai ZPT,8,400,0,,150,,,150,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,15,1,2026,,64,,,,150,250
15-Jan-26,0,2,H90304496111,2,,HIVPL/25-26/2957,P3217209,Zepto,Chennai ZPT,5,100,0,,,,,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,15,1,2026,,16,,,,,100
15-Jan-26,0,3,H90304496112,3,,HIVPL/25-26/2958,P3217214,Zepto,NCR GUR,,150,0,,,,,50,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,15,1,2026,,24,,,,,150
15-Jan-26,0,10,H90304496113,10,,HIVPL/25-26/2959,P3205990,Zepto,NCR JJR,,500,0,,,,,,,,,,,,,,,,,,,200,150,150,,,,,,,,,,,,,,,,,Movin,,Not Matched ❌,,,15,1,2026,,80,,,,,
